cocktail_id,material,recipe_content
16,"비어 Half(글라스의 절반), 토마토 주스 Half","기본 레시피에는 비어와 토마토 주스의 배합이 반반이지만 기호에 따라 조절할 수 있다. 재료는 모두 아주 차게 식혀 두어야 한다. 아주 차게 식힌 토마토 주스 Half, 비어 Half를 하이 볼 글라스 또는 비어 머그 글라스에 부은 다음 가볍게 젓는다. 서양에서는 마지막에 달걀 노른자를 넣기도 한다."
17,"그레나딘 시럽 1/7, 크렘 드 카카오 브라운 1/7, 크렘 드 민트그린 1/7, 블루 큐라소 1/7, 갈리아노 1/7, 트리플섹 1/7, 브랜디 1/7","그레나딘 시럽 1/7, 크렘 드 카카오 브라운 1/7, 크렘 드 민트그린 1/7, 블루 퀴라소 1/7, 갈리아노 1/7, 트리플섹 1/7, 브랜디 1/7을 순서대로 천천히 글라스에 따른다."
18,"스카치 위스키 1½온스, 스위트 베르무트 ⅔온스, 앙고스투라 비터스 1대시","스카치 위스키 1½온스, 스위트 베르무트(Sweet Vermouth) ⅔온스, 앙고스투라 비터스 1대시와 얼음을 믹싱 글라스에 넣고 저은 후 글라스에 따른다. 기호에 따라 레몬필 또는 체리를 넣어 장식한다."
19,"드라이 진 ½온스, 보드카 ½온스, 화이트 럼 ½온스, 테킬라 ½온스, 화이트 퀴라소 ½온스, 레몬 주스 30㎖, 설탕 시럽 1티스푼, 콜라 적당량","크러시드 아이스(잘게 부순 얼음)를 채운 글라스에 드라이 진 ½온스, 보드카 ½온스, 화이트 럼 ½온스, 테킬라 ½온스, 화이트 퀴라소 ½온스, 레몬 주스 30㎖, 설탕 시럽 1티스푼, 콜라 적당량을 순서대로 따른다. 바스푼으로 가볍게 저은 다음 레몬과 빨대를 장식한다."
20,"테킬라 2/4, 코앙트로 1/4, 라임 주스 1/4","칵테일 글라스에 레몬이나 라임으로 가장자리를 적신 후 소금을 묻혀 스노우 스타일로 장식해 둔다. 얼음과 함께 테킬라 2/4, 코앙트로(트리플 섹) 1/4, 라임 주스 1/4를 셰이커에 넣고 흔든 다음 준비해 둔 글라스에 따른다."
21,"화이트 럼 1½온스, 페퍼민트(화이트) ½온스, 레몬 주스 1티스푼","셰이커에 얼음과 화이트 럼 1½온스, 페퍼민트(화이트) ½온스, 레몬 주스 1티스푼을 넣고 잘 흔든 다음 글라스에 따른다."
22,"화이트 럼 1~1½온스, 오렌지 퀴라소 1티스푼, 파인애플 주스 2티스푼, 오렌지 주스 2티스푼, 레몬 주스 1티스푼, 다크 럼 2티스푼","셰이커에 화이트 럼 1~1½온스, 오렌지 퀴라소 1티스푼, 파인애플 주스 2티스푼, 오렌지 주스 2티스푼, 레몬 주스 1티스푼을 넣어 잘 흔든 다음 크러시드 아이스(잘게 부순 얼음)을 채운 글라스에 따라 다크 럼을 띄우고 계절 꽃과 과일로 장식한다."
23,"테킬라 1온스, 파인애플 주스 1½온스, 라임 주스 ½온스","셰이커에 얼음과 테킬라 1온스, 파인애플 주스 1½온스, 라임 주스 ½온스를 넣고 잘 흔든 다음 글라스에 따른다."
24,"드라이 진 1½온스, 드라이 베르무트 ½온스","스위트 마티니는 드라이 진과 스위트 베르무트의 비율을 2:1, 미디엄 마티니는 드라이 진과 드라이 베르무트의 비율을 2:1/2, 드라이 마티니는 드라이 진과 베르무트의 비율을 5:1, 엑스트라 마티니는 7:1로 한다. 믹싱글라스에 얼음·진·베르무트를 넣는다. 내용물을 저은 후 잔에 따르고 올리브로 장식한다. 맛을 좋게 하기 위하여 단단하고 물기가 없는 얼음을 사용한다. 또 너무 오래 저어서 얼음이 녹지 않게 해야 한다."
25,"드라이 진 2온스, 드라이 베르무트 1티스푼","얼음을 넣은 믹싱 글라스에 드라이 진 2온스, 드라이 베르무트(Dry Vermouth) 1티스푼을 넣는다. 바스푼으로 재료를 섞은 다음 글라스에 따르고 칵테일 핀에 꽂은 올리브를 장식한다. 기호에 따라 레몬 필을 장식한다."
26,"아메리칸 위스키 1½온스, 스위트 베르무트 ⅔온스, 앙고스투라 비터스 1대시","보통의 맨해튼은 아메리칸 위스키를 베이스로 만들며 스위트 베르무트와 앙고스투라 비터스를 사용한다. 버번 위스키를 베이스로 하는 경우도 있다. 아메리칸 위스키 1½온스, 스위트 베르무트(Sweet Vermouth) ⅔온스, 앙고스투라 비터스(Angostura Bitters) 1대시를 믹싱글라스에 넣고 바스푼으로 저은 후 체리로 장식한다."
27,"보드카 1~1½온스, 라임 주스 ½온스, 진저 비어 또는 진저 에일 적당량","얼음을 넣은 동제품 머그컵 또는 하이 볼 글라스에 보드카 1~1½온스, 라임 주스 ½온스를 따르고 차게 식힌 진저 비어를 채우고 나서 먼저 라임 조각을 짜 넣은 다음 라임 껍질도 안에 넣는다. 진저 비어가 없을 때는 진저 에일로 대신해도 좋고, 라임 조각 대신에 민트 잎을 넣어도 좋다."
28,"테킬라 1½온스, 페퍼민트(그린) ½온스, 라임 주스 ½온스","셰이커에 테킬라 1½온스, 페퍼민트(그린) ½온스, 라임 주스 ½온스과 얼음을 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
29,"샴페인 Half(와인 글라스의 절반), 오렌지 주스 Half","와인 글라스에 아주 차게 식힌 샴페인 Half, 오렌지 주스 Half를 따르고 가볍게 저어 슬라이스 오렌지로 장식한다. 재료는 모두 아주 차게 식혀 두어야 한다."
30,"비어 적당량, 페퍼민트(그린) ½온스",차게 식힌 비어를 적당히 고블렛 글라스에 따르고 페퍼민트(그린) ½온스를 넣은 다음 가볍게 젓는다.
31,"버번 위스키 1½온스, 설탕 2티스푼, 물 약간, 소다수, 민트 잎","콜린스 글라스에 민트 잎과 설탕, 물을 넣은 다음 설탕을 녹이면서 민트 잎을 부순다. 박하액이 약간 우러나오게 한 다음 버번 위스키 1½온스와 크러시드 아이스(잘게 부순 얼음)를 글라에 넣고 콜린스 글라스에 넣고 소다수로 잔을 채워 잘 저어 준 다음 민트 잎 3~4개를 띄어 준다."
32,크렘 드 망트(그린) 1~1½온스,크러시드 아이스(잘게 부순 얼음)를 채운 글라스에 크렘 드 망트(그린) 1~1½온스를 따른 다음 체리와 민트 잎으로 장식하고 빨대를 꽂는다.
33,"드라이 진 1온스, 스위트 베르무트 ½온스, 파인애플 주스 ½온스, 그레나딘 시럽 2티스푼, 계란 흰자 1개","셰이커에 드라이 진 1온스, 스위트 베르무트 ½온스, 파인애플 주스 ½온스, 그레나딘 시럽 2티스푼, 계란 흰자 1개와 얼음을 넣는다. 셰이크한 다음 칵테일 글라스 또는 샴페인 글라스에 따르고 파인애플을 장식한다. 계란 흰자를 사용하기 때문에 재료를 충분히 흔들어 주어야 한다. "
34,"바카디 럼(화이트) 1½온스, 라임 주스 ½온스, 그레나딘 시럽 2티스푼","셰이커에 얼음과 바카디 럼(화이트) 1½온스, 라임 주스 ½온스, 그레나딘 시럽 2티스푼을 넣고 잘 흔든 다음 글라스에 따른다."
35,"보드카 1½온스, 화이트 퀴라소 ½온스, 레몬 주스 ½온스","셰이커에 얼음과 보드카 1½온스, 화이트 퀴라소 ½온스, 레몬 주스 ½온스를 넣고 흔든 다음 글라스에 따른다."
36,"에프리코트 브랜디 1½온스, 오렌지 주스 ½온스, 오렌지 비터스 2대시","셰이커에 얼음과 에프리코트 브랜디 1½온스, 오렌지 주스 ½온스, 오렌지 비터스 2대시를 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
37,"드라이 셰리 1½온스, 드라이 베르무트 ⅔온스, 오렌지 비터스 1대시","믹싱 글라스에 얼음과 드라이 셰리 1½온스, 드라이 베르무트 ⅔온스, 오렌지 비터스 1대시를 넣은 다음 저어서 칵테일 글라스에 따른다."
38,"베일리스 1온스, 카카오 브라운 1온스, 생크림 1온스","쉐이커에 베일리스 1온스, 카카오 브라운 1온스, 생크림 1온스와 얼음을 넣고 흔든다. 샴페인 글라스에 담는다."
39,"샴페인 4온스, 복숭아 넥타 1온스, 그레나딘 시럽 1대시","샴페인 글라스에 아주 차게 식힌 샴페인 4온스, 복숭아 넥타 1온스, 그레나딘 시럽 1대시를 부은 다음 가볍게 젓는다."
40,"화이트 퀴라소 1온스, 티아 마리아 ⅓온스, 생크림 1온스, 브랜디 ⅓온스","셰이커에 얼음과 화이트 퀴라소 1온스, 티아 마리아 ⅓온스, 생크림 1온스를 붓고 잘 흔든 다음 칵테일 글라스에 따른다. 여기서 티아 마리아 대신 칼루아를 사용해도 된다."
41,"보드카 1~1½온스, 비프 비욘 적당량","올드 패션드 글라스 얼음과 보드카 1~1½온스, 비프 비욘(Beef Bouillon) 적당량을 넣고 가볍게 젓는다."
42,"브랜디 1½온스, 레몬 주스 ½온스, 설탕 1티스푼, 소다수 적당량","셰이커에 브랜디 1½온스, 레몬 주스 ½온스, 설탕 1티스푼, 얼음을 넣고 흔든 후 글라스에 따른다. 라임, 레몬과 마라스키노 체리로 장식한다."
43,"브랜디 1온스, 럼 ½온스, 계란 1개, 설탕 2티스푼, 우유 적당량","셰이커에 브랜디 1온스, 럼 ½온스, 계란 1개, 설탕 2티스푼, 우유 적당량과 얼음을 넣고 충분히 흔든 다음 글라스에 따른다."
44,"브랜디 1½온스~2온스, 마라스키노 1티스푼, 레몬 주스 1티스푼, 앙고스투라 비터스 1대시","셰이커에 브랜디 1½온스~2온스, 마라스키노 1티스푼, 레몬 주스 1티스푼, 앙고스투라 비터스 1대시와 얼음을 넣고 흔든 후 글라스에 따른다."
45,"아메리칸 위스키 1½온스, 드라이 베르무트 ½온스, 아메르 피콘 1대시, 마라스키노 1대시","셰이커에 아메리칸 위스키 1½온스, 드라이 베르무트 ½온스, 아메르 피콘 1대시, 마라스키노 1대시와 얼음을 넣고 흔든 다음 칵테일 글라스에 따른다."
46,"보드카 1½온스, 커피 리큐어 ½온스","올드 패션드 글라스에 얼음과 보드카 1½온스, 커피 리큐어 ½온스를 넣고 가볍게 젓는다."
47,"기네스 또는 흑맥주 Half(글라스의 절반), 샴페인 Half","기네스 또는 흑맥주와 샴페인은 물론이고 필스너 글라스도 아주 차게 식혀두어야 한다. 아주 차게 식힌 필스너 글라스에 샴페인 Half, 기네스 또는 흑맥주 Half을 동시에 따른다."
48,"위스키 ½온스, 스위트 베르무트 ½온스, 체리 브랜디 ½온스, 오렌지 주스 ½온스","위스키 ½온스, 스위트 베르무트 ½온스, 체리 브랜디 ½온스, 오렌지 주스 ½온스와 얼음을 넣고 흔든 다음 글라스에 따른다."
49,"보드카 1~1½온스, 토마토 주스 적당량, 우스터 소스 1대시, 타바스코 2대시, 소금 약간, 후춧가루 약간","하이 볼 글라스에 얼음과 보드카 1~1½온스, 우스터 소스 1대시, 타바스코 2대시, 소금 약간, 토마토 주스를 적당량 넣고 가볍게 저은 다음 셀러리 스틱과 1/6로 자른 레몬 조각을 장식한다."
50,"화이트 럼 1온스, 블루 퀴라소 ½온스, 파인애플 주스 1온스, 레몬 주스 ½온스","셰이커에 얼음과 화이트 럼 1온스, 블루 퀴라소 ½온스, 파인애플 주스 1온스, 레몬 주스 ½온스를 넣고 잘 흔든 그랑드 글라스에 따른다."
51,"브랜디 ½온스, 베네딕틴 ½온스",베네딕틴을 따른 후 브랜디를 띄우듯이 따르는 스타일과 재료를 믹싱하는 경우가 있다.
52,"화이트 와인 Half, 비어 Half(글라스의 전반)","좀더 맛있게 마시기 위해서는 글라스, 화이트 와인, 비어 모두를 아주 차게 식혀 두는 것이 포인트이다. 아주 차게 식힌 고블렛 글라스에 얼음을 넣고 화이트 와인을 부은 다음 비어를 채워서 가볍게 젓는다."
53,"브랜디 ½온스, 럼(화이트) ½온스, 트리플섹 ½온스, 레몬 주스 ½온스","셰이커에 브랜디 ½온스, 럼(화이트), 트리플섹 ½온스, 레몬 주스 ½온스와 얼음을 넣고 흔든 다음 글라스에 따른다."
54,"브랜디 1온스, 레몬 주스 ½온스, 코앙트로 ½온스","브랜디 1온스, 레몬 주스 ½온스, 코앙트로 ½온스와 얼음을 셰이커에 넣고 흔든 후 칵테일 글라스에 따른다."
55,"자메이카 럼 1½온스, 아니세트 ⅓온스, 레몬 주스 ⅓온스, 그레나딘 시럽 2대시","셰이커에 얼음과 자메이카 럼 1½온스, 아니세트 ⅓온스, 레몬 주스 ⅓온스, 그레나딘 시럽 2대시를 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
56,"비어 Half(글라스의 절반), 진저 에일 Half","머그 글라스에 아주 차게 식힌 비어 Half, 진저 에일 Half을 천천히 부은 다음 가볍게 젓는다."
57,"샴페인 1글라스, 앙고스투라 비터스 1대시, 각설탕 1개","샴페인 글라스에 넣은 각설탕 1개에 앙고스투라 비터스 1대시, 샴페인 1글라스를 채운 다음 오렌지 조각 또는 레몬필로 장식한다."
58,"보드카 1~1½온스, 그레이프 프루트 주스 적당량","하이 볼 글라스에 얼음과 보드카 1~1½온스, 그레이프 프루트 주스 적당량을 넣고 바스푼으로 가볍게 저은 다음 오렌지 슬라이스로 장식한다."
59,"보드카 1온스, 미도리(멜론 리큐어) ½온스, 라임 주스 ½온스, 설탕시럽 1티스푼","셰이커에 보드카 1온스, 미도리(멜론 리큐어) ½온스, 라임 주스 ½온스, 설탕시럽 1티스푼과 얼음을 넣고 흔든 후 칵테일 글라스에 따른다."
60,"스카치 위스키 1½온스, 드람브이 ½온스, 오렌지 비터스 2대시","스카치 위스키 1½온스, 드람브이 ½온스, 오렌지 비터스 2대시와 얼음을 믹싱 글라스에 넣고 저은 후 칵테일 글라스에 따른다."
61,"화이트 럼 1온스, 브랜디 1온스, 오렌지 주스 1온스, 레몬 주스 ½온스, 설탕시럽 1티스푼","셰이커에 얼음과 화이트 럼 1온스, 브랜디 1온스, 오렌지 주스 1온스, 레몬 주스 ½온스, 설탕시럽 1티스푼을 넣어 잘 흔든 다음 크러시드 아이스(잘게 부순 얼음)를 채운 필스너 글라스에 따르고 오렌지와 체리로 장식한다."
62,"보드카 1온스~1½온스, 오렌지 주스 적당량","하이 볼 글라스에 얼음과 보드카 1온스~1½온스, 오렌지 주스 적당량를 넣고 가볍게 저은 다음 오렌지 조각으로 장식한다."
63,"브랜디 1½온스, 크렘 드 민트 화이트 ½온스","브랜디 1½온스, 크렘 드 민트(Creme de Menthe) 화이트 ½온스와 얼음을 셰이커에 넣고 흔든 후 칵테일 글라스에 따른다."
64,"캄파리 1온스, 그레이프 프루트 주스 1½온스, 토닉워터 적당량",얼음을 넣은 하이 볼 글라스에 캄파리 1온스와 그레이프 프루트 주스 1½온스를 따르고 차가운 토닉워터를 채운다.
65,"화이트 와인 2온스, 소다수 적당량",차게 식힌 화이트 와인 2온스를 얼음이 채워져 있는 와인 글라스에 따른 다음 소다수를 채운다. 사용하는 모든 재료를 차게 해 두는 것이 포인트이다. 기호에 따라 레몬을 장식해도 좋다.
66,"슬로 진 1~1½온스, 레몬 주스 ½온스, 설탕 1~2 티스푼, 소다수 적당량","셰이커에 슬로 진 1~1½온스, 레몬 주스 ½온스, 설탕 1~2티스푼을 넣어 잘 흔든 다음 하이 볼 글라스에 따라 차가운 소다수를 넣고 가볍게 젓는다. 레몬 또는 오렌지 등으로 장식한다."
67,"테킬라 1온스, 슬로 진 ½온스, 레몬 주스 ½온스","셰이커에 테킬라 1온스, 슬로 진 ½온스, 레몬 주스 ½온스와 얼음을 넣고 잘 흔든 다음 크러시드 아이스(잘게 부순 얼음)를 넣은 글라스에 따르고 오이나 셀러리 줄기를 장식하고 빨대를 꽂는다."
68,"드라이 진 1온스, 체리 브랜디 ½온스, 레몬 주스 ½온스, 설탕시럽 1티스푼, 소다수 적당량","셰이커에 드라이 진 1온스, 체리 브랜디 ½온스, 레몬 주스 ½온스, 설탕시럽 1티스푼을 넣고 흔든 다음 글라스에 따른다. 글라스에 얼음을 첨가한 차가운 소다수로 가득 채우고 오렌지, 체리로 장식한다. 설탕시럽 외에 그레다닌 시럽 ⅓온스 사용해도 된다."
69,"드라이 셰리 1½온스, 스위트 베르무트 ⅔온스, 오렌지 비터스 1대시","믹싱 글라스에 얼음과 드라이 셰리 1½온스, 스위트 베르무트 ⅔온스, 오렌지 비터스 1대시를 넣어 잘 저은 다음 칵테일 글라스에 따른다."
70,"레드 와인 1온스, 레몬 주스 1온스, 설탕 3티스푼, 물(미네랄 워터) 적당량","하이 볼 글라스에 레몬 주스 1온스, 설탕 3티스푼를 넣어 잘 녹인 다음 얼음과 냉수를 넣고 차갑게 식힌 레드 와인을 살짝 띄운다."
71,"브랜디 ⅔온스, 드라이 베르무트 ⅔온스, 그레나딘 시럽 ⅓온스, 오렌지 주스 ⅓온스, 크렘 드 망트 1대시, 포트 와인 적당량","브랜디 ⅔온스, 드라이 베르무트 ⅔온스, 그레나딘 시럽(grenadine) ⅓온스, 오렌지 주스 ⅓온스, 크렘 드 망트 화이트 1대시를 셰이커에 넣고 흔든 다음 글라스에 따른다. 여기에 포트 와인 적당량을 플로트 한다."
72,"아이리시 위스키 1온스, 커피, 휘프드 크림 적당량, 계핏가루 약간","글라스 테두리에 황설탕(Brown Sugar)을 묻히고 아이리시 위스키 1온스를 붓고, 글라스를 알코올 램프에 데워 불이 붙으면 커피를 부어서 생크림을 씌운 후 계핏가루를 약간 뿌려준다. "
73,"베일리스 1온스, 냉커피 2온스, 설탕시럽 ⅓온스, 휘프드 크림 적당량","잘게 부순 얼음을 글라스에 가득 채우고 베일리스와 냉커피, 설탕시럽을 넣어 재운 후 휘프드 크림을 얹고 계핏가루를 살짝 뿌려 준다."
74,"브랜디 1온스, 크렘 드 카카오 1온스, 생크림 1온스","브랜디 1온스, 크렘 드 카카오 브라운(Creme de Cacao Brown) 1온스, 생크림 1온스와 얼음을 셰이커에 넣고 흔든 다음 글라스에 따른다. 장식으로는 너트메그 가루를 살짝 뿌려준다."
75,"드라이 진 1½온스, 페퍼민트 ⅓온스, 파인애플 주스 ⅓온스","셰이커에 드라이 진 1½온스, 페퍼민트 ⅓온스, 파인애플 주스 ⅓온스와 얼음을 넣고 흔든 후 글라스에 따른다."
76,"에프리코트 브랜디 1~1½온스, 오렌지 주스 ½온스, 레몬 주스 온스½, 드라이 진 1티스푼","셰이커에 얼음과 에프리코트 브랜디 1~1½온스, 오렌지 주스 ½온스, 레몬 주스 ½온스와 드라이 진 1티스푼을 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
77,"화이트 럼 1½온스, 화이트 퀴라소 ½온스, 레몬 주스 ½온스","셰이커에 얼음과 화이트 럼 1½온스, 화이트 퀴라소 ½온스, 레몬 주스 ½온스를 넣고 잘 흔든 다음 칵테일 글라스에 따른다."
78,"크렘 드 카카오(브라운) ¾온스, 생크림 ¼온스",생크림은 크렘 드 카카오(브라운)와 섞이지 않도록 띄워 놓는다. 리큐어 글라스에 크렘 드 카카오(브라운)를 따르고 그 위에 생크림을 살짝 띄운 다음 칵테일핀에 꽂은 붉은 체리를 걸쳐 놓는다.
79,"화이트 럼 1½온스, 드라이 베르무트 ½온스, 오렌지 퀴라소 ½온스, 그레나딘 시럽 1대시","얼음이 든 믹싱 글라스에 화이트 럼 1½온스, 드라이 베르무트 ½온스, 오렌지 퀴라소 ½온스, 그레나딘 시럽 1대시를 넣고 가볍게 저은 다음 칵테일 글라스에 따른다."
80,"진 1½온스, 오렌지 주스 1½온스, 설탕시럽 2티스푼","셰이커에 진 1½온스, 오렌지 주스 1½온스와 설탕시럽 2티스푼과 얼음을 넣고 흔든 후 글라스에 따른다."
81,"아메리칸 위스키 1½온스, 드라이 베르무트 ⅓온스, 캄파리 ⅓온스","아메리칸 위스키 1½온스, 드라이 베르무트 ⅓온스, 캄파리 ⅓온스와 얼음을 믹싱글라스에 넣고 바스푼으로 저은 다음 글라스에 따른다. 이 외에도 버번 위스키 1½온스, 스위트 베르무트 ⅓온스, 그레나딘 시럽 ⅓온스로 만드는 다른 유형의 올드 팔도 있다."
82,"아메리칸 위스키나 버번 위스키 1~1½온스, 앙고스투라 비터스 1~2대시, 각설탕 1개, 소다수","전용 글라스에 각설탕 1개를 넣고 앙고스투라 비터스 1대시~2대시를 떨어뜨린 다음 약간의 소다수로 녹여준 후 각얼음을 넣는다. 약한 술을 원하면 아메리칸 위스키, 강한 술을 원하면 버번 위스키를 1온스~1½온스를 넣는다. 마지막으로 오렌지, 체리를 글라스에 장식한다. 각설탕 대신 설탕시럽 또는 가루설탕을 사용하여도 된다."
83,"브랜디 ⅔온스, 오렌지 퀴라소 ⅔온스, 오렌지 주스 ⅔온스","브랜디 ⅔온스, 오렌지 퀴라소(Curacao) ⅔온스, 오렌지 주스 ⅔온스와 얼음을 셰이커 넣고 흔든 후 글라스에 따른다. 오렌지 퀴라소(Curacao) 대신 트리플섹 또는 코앙트로를 사용해도 된다."
84,"레드 와인 3온스, 오렌지 퀴라소 ½온스, 그레나딘 시럽 ½온스, 오렌지 주스 1온스","글라스에 와인 3온스, 오렌지 퀴라소 ½온스, 그레나딘 시럽 ½온스, 오렌지 주스 1온스를 붓고 가볍게 저어 크러시드 아이스(잘게 부순 얼음)을 채운 다음 오렌지 조각 등으로 장식하고 빨대를 꽂는다."
85,"아메리칸 위스키 1½온스, 레몬 주스 ½온스, 오렌지 주스 ½온스, 그레나딘 시럽 2대시","셰이커에 아메리칸 위스키 1½온스, 레몬 주스 ½온스, 오렌지 주스 ½온스, 그레나딘 시럽 2대시와 얼음을 넣고 흔든 후 글라스에 따른다. 새콤한 맛에 짙은 갈색의 칵테일이다. 장식은 오렌지, 레몬, 체리로 해준다."
86,위스키 1½온스,셰이커에 위스키를 얼음과 함께 넣고 흔든 후 글라스에 따르고 레몬을 짜서 넣는다. 크러시드 아이스를 채운 글라스에 위스키를 따른 후 마실 사람한테 빌드의 종류를 선택하게 한다. 
87,"위스키 1½온스, 설탕 1티스푼, 미네랄 워터 적당량",하이 볼 글라스에 설탕 1티스푼을 넣고 소량의 미네랄 워터를 넣어 녹인다. 위스키 1½온스를 넣은 후 차갑게 만든 미네랄 워터를 가득 담은 다음 레몬 슬라이스로 장식한다.
88,"위스키 1½온스, 미네랄 워터","얼음을 넣은 하이 볼 글라스에 미네랄 워터를 70% 정도를 넣고, 위스키 1½온스를 천천히 따라서 만든다."
89,"보드카 1½온스, 화이트 퀴라소 ½온스, 라임 주스 ⅓온스","셰이커에 얼음과 보드카 1½온스, 화이트 퀴라소 ½온스, 라임 주스 ⅓온스를 넣고 잘 흔든 다음 설탕으로 플로트 해 놓은 올드 패션드 글라스에 따르고 민트 체리를 넣는다."
90,"브랜디 1온스, 벌꿀 ½온스, 생크림 ½온스","브랜디 1온스, 벌꿀 ½온스, 생크림 ½온스와 얼음을 셰이커에 넣고 충분히 흔든 후 글라스에 따른다. 벌꿀을 사용했기 때문에 충분히 흔들어야 한다."
91,"드라이 진 1온스, 라임 주스 ½온스, 소다수 적당량","하이 볼 글라스에 라임 즙을 짜서 넣고, 짠 라임을 그대로 담근다. 드라이 진 1온스, 라임 주스 ½온스와 얼음을 넣는다. 여기에 찬 소다수를 적당히 채운다."
92,"드라이 진 1½온스, 스위트 베르무트 1½온스","드라이 진 1½온스, 스위트 베르무트 1½온스를 차분히 글라스에 따른다. 얼음을 사용하지 않는 것이 특징이다."
93,"드라이 진 45㎖, 토닉워터 적당량",얼음을 넣은 하이 볼 글라스에 드라이 진 45㎖를 따른 다음 토닉워터로 잔을 채운다. 글라스 가장자리를 레몬이나 라임으로 장식한다.
